rep_population,regime,type,regimetype,sex,fly,size_mm
RP3,bCFM,1X,gCFMm,m,15,0.777777778
RP3,bCFM,1X,gCFMm,m,16,0.793650794
RP3,bCFM,1X,gCFMm,m,17,0.793650794
RP3,bCFM,1X,gCFMm,m,18,0.793650794
RP3,bCFM,1X,gCFMm,m,19,0.793650794
RP3,bCFM,1X,gCFMm,m,20,0.777777778
RP3,cCwt,0X,eCwtf,f,1,0.904761905
RP3,cCwt,0X,eCwtf,f,2,0.793650794
RP3,cCwt,0X,eCwtf,f,3,0.857142857
RP3,cCwt,0X,eCwtf,f,4,0.857142857
RP3,cCwt,0X,eCwtf,f,5,0.952380952
RP3,cCwt,0X,eCwtf,f,6,0.841269841
RP3,cCwt,0X,eCwtf,f,7,0.888888889
RP3,cCwt,0X,eCwtf,f,8,0.952380952
RP3,cCwt,0X,eCwtf,f,9,0.952380952
RP3,cCwt,0X,eCwtf,f,10,1.015873016
RP3,cCwt,0X,eCwtf,f,11,0.952380952
RP3,cCwt,0X,eCwtf,f,12,0.873015873
RP3,cCwt,0X,eCwtf,f,13,0.873015873
RP3,cCwt,0X,eCwtf,f,14,0.857142857
RP3,cCwt,0X,eCwtf,f,15,0.888888889
RP3,cCwt,0X,eCwtf,f,16,0.873015873
RP3,cCwt,0X,eCwtf,f,17,0.825396825
RP3,cCwt,0X,eCwtf,f,18,0.873015873
RP3,cCwt,0X,eCwtf,f,19,0.904761905
RP3,cCwt,0X,eCwtf,f,20,0.920634921
RP3,cCwt,0X,hCwtm,m,1,0.793650794
RP3,cCwt,0X,hCwtm,m,2,0.80952381
RP3,cCwt,0X,hCwtm,m,3,0.841269841
RP3,cCwt,0X,hCwtm,m,4,0.777777778
RP3,cCwt,0X,hCwtm,m,5,0.761904762
RP3,cCwt,0X,hCwtm,m,6,0.825396825
RP3,cCwt,0X,hCwtm,m,7,0.825396825
RP3,cCwt,0X,hCwtm,m,8,0.825396825
RP3,cCwt,0X,hCwtm,m,9,0.80952381
RP3,cCwt,0X,hCwtm,m,10,0.825396825
RP3,cCwt,0X,hCwtm,m,11,0.793650794
RP3,cCwt,0X,hCwtm,m,12,0.841269841
RP3,cCwt,0X,hCwtm,m,13,0.793650794
RP3,cCwt,0X,hCwtm,m,14,0.825396825
RP3,cCwt,0X,hCwtm,m,15,0.793650794
RP3,cCwt,0X,hCwtm,m,16,0.793650794
RP3,cCwt,0X,hCwtm,m,17,0.793650794
RP3,cCwt,0X,hCwtm,m,18,0.793650794
RP3,cCwt,0X,hCwtm,m,19,0.80952381
RP3,cCwt,0X,hCwtm,m,20,0.80952381
RP4,aFLX,2X,aFLX2X,f,1,0.968253968
RP4,aFLX,2X,aFLX2X,f,2,0.952380952
RP4,aFLX,2X,aFLX2X,f,3,0.952380952
RP4,aFLX,2X,aFLX2X,f,4,0.952380952
RP4,aFLX,2X,aFLX2X,f,5,0.952380952
RP4,aFLX,2X,aFLX2X,f,6,0.936507937
